run_accession	experiment_accession
SRR12325991	SRX8826392
SRR12325992	SRX8826391
SRR12325993	SRX8826390
SRR12325994	SRX8826389
SRR12325995	SRX8826388
SRR12325996	SRX8826387
SRR12325997	SRX8826386
SRR12325998	SRX8826385
SRR12325999	SRX8826384
SRR12326000	SRX8826383
SRR12326001	SRX8826382
SRR12326002	SRX8826381
SRR12326003	SRX8826380
SRR12326004	SRX8826379
SRR12326005	SRX8826378
SRR12326006	SRX8826377
SRR12326007	SRX8826376
SRR12326008	SRX8826375
SRR12326009	SRX8826374
SRR12326010	SRX8826373
SRR12326011	SRX8826372
SRR12326012	SRX8826371
SRR12326013	SRX8826370
SRR12326014	SRX8826369
SRR12326015	SRX8826368
SRR12326016	SRX8826367
SRR12326017	SRX8826366
SRR12326018	SRX8826365
SRR12326019	SRX8826364
SRR12326020	SRX8826363
SRR12326021	SRX8826362
SRR12326022	SRX8826361
SRR12326023	SRX8826360
SRR12326024	SRX8826359
SRR12326025	SRX8826358
SRR12326026	SRX8826357
SRR12326027	SRX8826356
SRR12326028	SRX8826355
SRR12326029	SRX8826354
SRR12326030	SRX8826353
SRR12326031	SRX8826352
SRR12326032	SRX8826351
SRR12326033	SRX8826350
SRR12326034	SRX8826349
SRR12326035	SRX8826348
SRR12326036	SRX8826347
SRR12326037	SRX8826346
SRR12326038	SRX8826345
SRR12326039	SRX8826344
SRR12326040	SRX8826343
SRR12326041	SRX8826342
SRR12326042	SRX8826341
SRR12326043	SRX8826340
SRR12326044	SRX8826339
SRR12326045	SRX8826338
SRR12326046	SRX8826337
SRR12326047	SRX8826336
SRR12326048	SRX8826335
SRR12326049	SRX8826334
SRR12326050	SRX8826333
SRR12326051	SRX8826332
SRR12326052	SRX8826331
SRR12326053	SRX8826330
SRR12326054	SRX8826329
SRR12326055	SRX8826328
SRR12326056	SRX8826327
SRR12326057	SRX8826326
SRR12326058	SRX8826325
SRR12326059	SRX8826324
SRR12326060	SRX8826323
SRR12326061	SRX8826322
SRR12326062	SRX8826321
SRR12326063	SRX8826320
SRR12326064	SRX8826319
SRR12326065	SRX8826318
SRR12326066	SRX8826317
SRR12326067	SRX8826316
SRR12326068	SRX8826315
SRR12326069	SRX8826314
SRR12326070	SRX8826313
SRR12326071	SRX8826312
SRR12326072	SRX8826311
SRR12326073	SRX8826310
SRR12326074	SRX8826309
SRR12326075	SRX8826308
SRR12326076	SRX8826307
SRR12326077	SRX8826306
SRR12326078	SRX8826305
SRR12326079	SRX8826304
SRR12326080	SRX8826303
SRR12326081	SRX8826302
SRR12326082	SRX8826301
SRR12326083	SRX8826300
SRR12326084	SRX8826299
SRR12326085	SRX8826298
SRR12326086	SRX8826297
SRR12326087	SRX8826296
SRR12326088	SRX8826295
SRR12326089	SRX8826294
SRR12326090	SRX8826293
SRR12326091	SRX8826292
SRR12326092	SRX8826291
SRR12326093	SRX8826290
SRR12326094	SRX8826289
SRR12326095	SRX8826288
SRR12326096	SRX8826287
SRR12326097	SRX8826286
SRR12326098	SRX8826285
SRR12326099	SRX8826284
SRR12326100	SRX8826283
SRR12326101	SRX8826282
SRR12326102	SRX8826281
SRR12326103	SRX8826280
SRR12326104	SRX8826279
SRR12326105	SRX8826278
SRR12326106	SRX8826277
SRR12326107	SRX8826276
SRR12326108	SRX8826275
SRR12326109	SRX8826274
SRR12326110	SRX8826273
SRR12326111	SRX8826272
SRR12326112	SRX8826271
SRR12326113	SRX8826270
SRR12326114	SRX8826269
SRR12326115	SRX8826268
SRR12326116	SRX8826267
SRR12326117	SRX8826266
SRR12326118	SRX8826265
SRR12326119	SRX8826264
SRR12326120	SRX8826263
SRR12326121	SRX8826262
SRR12326122	SRX8826261
SRR12326123	SRX8826260
SRR12326124	SRX8826259
SRR12326125	SRX8826258
SRR12326126	SRX8826257
SRR12326127	SRX8826256
SRR12326128	SRX8826255
SRR12326129	SRX8826254
SRR12326130	SRX8826253
SRR12326131	SRX8826252
SRR12326132	SRX8826251
SRR12326133	SRX8826250
SRR12326134	SRX8826249
SRR12326135	SRX8826248
SRR12326136	SRX8826247
SRR12326137	SRX8826246
SRR12326138	SRX8826245
SRR12326139	SRX8826244
SRR12326140	SRX8826243
SRR12326141	SRX8826242
SRR12326142	SRX8826241
SRR12326143	SRX8826240
SRR12326144	SRX8826239
SRR12326145	SRX8826238
SRR12326146	SRX8826237
SRR12326147	SRX8826236
SRR12326148	SRX8826235
SRR12326149	SRX8826234
SRR12326150	SRX8826233
SRR12326151	SRX8826232
SRR12326152	SRX8826231
SRR12326153	SRX8826230
SRR12326154	SRX8826229
SRR12326155	SRX8826228
SRR12326156	SRX8826227
SRR12326157	SRX8826226
SRR12326158	SRX8826225
SRR12326159	SRX8826224
SRR12326160	SRX8826223
SRR12326161	SRX8826222
SRR12326162	SRX8826221
SRR12326163	SRX8826220
SRR12326164	SRX8826219
SRR12326165	SRX8826218
SRR12326166	SRX8826217
SRR12326167	SRX8826216
SRR12326168	SRX8826215
SRR12326169	SRX8826214
SRR12326170	SRX8826213
SRR12326171	SRX8826212
